[Reaction removed]: (FP-rate, TP-rate) 
[                               FACOAL191] : (0.069925, 0.086957) 
[                              FACOAL181i] : (0.069925, 0.086957) 
[                                    ALR3] : (0.069925, 0.086957) 
[                                    ALR2] : (0.069925, 0.086957) 
[                               CHSTEROLt] : (0.069925, 0.086957) 
[                                  UMPK5n] : (0.069925, 0.086957) 
[                                DHCR241r] : (0.069925, 0.086957) 
[                              FACOAL1821] : (0.069925, 0.086957) 
[                              FACOAL1822] : (0.069925, 0.086957) 
[                                  CYTK6n] : (0.069925, 0.086957) 
[                                   PIt2m] : (0.073999, 0.086957) 
[                               FACOAL161] : (0.069925, 0.086957) 
[                                  LALDO2] : (0.069925, 0.086957) 
[                          DEFAULT RECON1] : (0.069925, 0.086957) 
[                                    P5CR] : (0.069925, 0.086957) 
[                                  VLCS2p] : (0.069925, 0.086957) 
[                                     NAt] : (0.069925, 0.086957) 
[                                   P5CRx] : (0.069925, 0.086957) 
[                                  DCYTDn] : (0.069925, 0.086957) 
[                                 CYTK14n] : (0.069925, 0.086957) 
[                               FACOAL184] : (0.069925, 0.086957) 
[                                    GAPD] : (0.080109, 0.086957) 
[                               P4508B11r] : (0.069925, 0.086957) 
[                               FACOAL203] : (0.069925, 0.086957) 
[                                 DAGK_hs] : (0.069925, 0.086957) 
[                                   ASNS1] : (0.069925, 0.086957) 
[                                DHCR242r] : (0.069925, 0.086957) 
[                              FACOAL1812] : (0.069925, 0.086957) 
[                              FACOAL1813] : (0.069925, 0.086957) 
[                                  UMPK6n] : (0.069925, 0.086957) 
[                                   DCK1n] : (0.069925, 0.086957) 
[                                   PTE3x] : (0.069925, 0.086957) 
[                                    NAIt] : (0.069925, 0.086957) 
[                                  CYTK7n] : (0.069925, 0.086957) 
[                                PYAM5POr] : (0.069925, 0.086957) 
[                                  GCCbim] : (0.069925, 0.086957) 
[                                  UMPK3n] : (0.069925, 0.086957) 
[                                   CYTK1] : (0.069925, 0.086957) 
[                                   CYTK2] : (0.069925, 0.086957) 
[                                   CYTK5] : (0.069925, 0.086957) 
[                                   CYTK6] : (0.069925, 0.086957) 
[                                     GBA] : (0.069925, 0.086957) 
[                                   CYTK8] : (0.069925, 0.086957) 
[                                   CYTK9] : (0.069925, 0.086957) 
[                             FACOAL246_1] : (0.069925, 0.086957) 
[                                  CYTK8n] : (0.069925, 0.086957) 
[                                   CYTDn] : (0.069925, 0.086957) 
[                                    PDHm] : (0.076035, 0.086957) 
[                                   GLXO1] : (0.069925, 0.086957) 
[                                   RDH2a] : (0.069925, 0.086957) 
[                                   FUMAC] : (0.069925, 0.086957) 
[                                  ICDHxm] : (0.069925, 0.086957) 
[                                   UMPKn] : (0.069925, 0.086957) 
[                                   UREAt] : (0.069925, 0.086957) 
[                                  OIVD1m] : (0.069925, 0.086957) 
[                                 PI45P5P] : (0.069925, 0.086957) 
[                                   GCCcm] : (0.069925, 0.086957) 
[                                 ALCD2yf] : (0.069925, 0.086957) 
[                                  CYTK12] : (0.069925, 0.086957) 
[                                  CYTK13] : (0.069925, 0.086957) 
[                                  CYTK10] : (0.069925, 0.086957) 
[                                  CYTK11] : (0.069925, 0.086957) 
[                                PI345P5P] : (0.069925, 0.086957) 
[                               FACOAL226] : (0.069925, 0.086957) 
[                                  CYTK14] : (0.069925, 0.086957) 
[                               FACOAL224] : (0.069925, 0.086957) 
[                              FACOAL160i] : (0.069925, 0.086957) 
[                                    2HBO] : (0.069925, 0.086957) 
[                                 GCC2bim] : (0.069925, 0.086957) 
[                               FACOAL241] : (0.069925, 0.086957) 
[                               FACOAL240] : (0.069925, 0.086957) 
[                                  CYTK9n] : (0.069925, 0.086957) 
[                              FACOAL180i] : (0.069925, 0.086957) 
[                DOPAt4_LPAREN_2_RPAREN_r] : (0.069925, 0.086957) 
[                                   GLUNm] : (0.069246, 0.086957) 
[                                  UMPK4n] : (0.069925, 0.086957) 
[                                    UMPK] : (0.069925, 0.086957) 
[                                 DALAOXx] : (0.069925, 0.086957) 
[                                  CYTK1n] : (0.069925, 0.086957) 
[                                    FTCD] : (0.069925, 0.086957) 
[                                   ACONT] : (0.069925, 0.086957) 
[                                   UMPK7] : (0.069925, 0.086957) 
[                                   UMPK4] : (0.069925, 0.086957) 
[                                  GCC2cm] : (0.069925, 0.086957) 
[                                   LDH_L] : (0.063136, 0.043478) 
[                                   UMPK3] : (0.069925, 0.086957) 
[                                 BILIRED] : (0.069925, 0.086957) 
[                                   DCK2n] : (0.069925, 0.086957) 
[                                 PSDm_hs] : (0.069925, 0.086957) 
[                                    CHAT] : (0.069925, 0.086957) 
[                                   DCYTD] : (0.069925, 0.086957) 
